"example","characteristic","overall","unexposed","exposed","smd"
"E1","Age (years), mean (SD)","47.24 (16.74)","47.65 (17.20)","46.40 (15.74)","0.076"
"E1","Female, %","51.5","53.0","48.5","0.091"
"E1","Race/ethnicity, %","","","","0.257"
"E1","   Non-Hispanic White","66.1","69.2","60.1",""
"E1","   Non-Hispanic Black","11.2","8.6","16.4",""
"E1","   Mexican American","8.5","8.6","8.3",""
"E1","   Other Hispanic","5.9","5.5","6.8",""
"E1","   Other","8.2","8.1","8.4",""
"E1","Education, %","","","","0.154"
"E1","   < High school","15.6","14.6","17.6",""
"E1","   High school","22.7","21.2","25.6",""
"E1","   Some college or more","61.8","64.3","56.8",""
"E1","Poverty-income ratio, mean (SD)","2.98 (1.66)","3.08 (1.65)","2.78 (1.64)","0.179"
"E1","NHANES cycle, %","","","","0.295"
"E1","   2007-2008","16.3","14.8","19.2",""
"E1","   2009-2010","16.6","15.6","18.6",""
"E1","   2011-2012","17.0","15.9","19.1",""
"E1","   2013-2014","17.3","16.5","18.7",""
"E1","   2015-2016","16.3","19.1","10.7",""
"E1","   2017-2018","16.6","18.1","13.6",""
"E1","Smoking status, %","","","","0.220"
"E1","   Never","56.1","58.4","51.6",""
"E1","   Former","24.4","25.1","23.0",""
"E1","   Current","19.5","16.5","25.4",""
"E1","Married or partnered, %","63.7","65.3","60.4","0.102"
"E1","Physically active, %","54.2","56.4","49.7","0.134"
"E1","PHQ-9 score, mean (SD)","0.08 (0.27)","0.06 (0.23)","0.12 (0.32)","0.208"
"E1","Obesity (BMI >=30), %","37.5","35.9","40.6","0.096"
"E2","Age (years), mean (SD)","47.63 (16.97)","48.52 (17.06)","42.53 (15.51)","0.368"
"E2","Female, %","51.3","51.0","53.2","0.044"
"E2","Race/ethnicity, %","","","","0.494"
"E2","   Non-Hispanic White","67.3","70.5","49.1",""
"E2","   Non-Hispanic Black","11.0","9.9","17.1",""
"E2","   Mexican American","8.4","7.0","16.2",""
"E2","   Other Hispanic","5.7","4.8","10.5",""
"E2","   Other","7.6","7.7","7.1",""
"E2","Education, %","","","","0.551"
"E2","   < High school","15.2","12.5","30.9",""
"E2","   High school","23.2","22.3","28.3",""
"E2","   Some college or more","61.5","65.2","40.8",""
"E2","Poverty-income ratio, mean (SD)","2.97 (1.65)","3.23 (1.59)","1.48 (1.10)","1.275"
"E2","NHANES cycle, %","","","","0.220"
"E2","   2007-2008","15.9","16.7","11.1",""
"E2","   2009-2010","15.7","16.1","13.3",""
"E2","   2011-2012","16.4","16.3","16.9",""
"E2","   2013-2014","17.2","17.3","16.7",""
"E2","   2015-2016","17.1","16.4","20.9",""
"E2","   2017-2018","17.7","17.1","21.1",""
"E2","Married or partnered, %","63.2","65.4","50.7","0.301"
"E2","Household size, mean (SD)","3.01 (1.53)","2.93 (1.47)","3.43 (1.76)","0.307"
"E2","Health insurance, %","82.9","85.9","65.8","0.482"
"E2","Body-mass index (kg/m2), mean (SD)","29.17 (6.91)","28.98 (6.72)","30.27 (7.86)","0.176"
"E2","Smoking status, %","","","","0.465"
"E2","   Never","55.5","57.3","44.8",""
"E2","   Former","25.0","26.1","18.6",""
"E2","   Current","19.6","16.6","36.5",""
"E2","Depression (PHQ-9 >=10), %","8.1","6.0","19.9","0.425"
"E3","Age (years), mean (SD)","48.13 (17.25)","50.80 (17.03)","38.44 (14.32)","0.785"
"E3","Female, %","51.9","53.9","44.5","0.190"
"E3","Race/ethnicity, %","","","","0.104"
"E3","   Non-Hispanic White","63.0","62.0","66.7",""
"E3","   Non-Hispanic Black","11.4","11.6","10.8",""
"E3","   Mexican American","8.8","9.1","8.0",""
"E3","   Other Hispanic","6.7","7.0","5.5",""
"E3","   Other","10.0","10.3","9.0",""
"E3","Education, %","","","","0.217"
"E3","   < High school","12.9","13.1","12.5",""
"E3","   High school","23.9","21.9","31.3",""
"E3","   Some college or more","63.1","65.0","56.2",""
"E3","Poverty-income ratio, mean (SD)","3.01 (1.65)","3.11 (1.64)","2.64 (1.64)","0.286"
"E3","2017-2018 cycle, %","50.4","49.4","54.1","0.094"
"E3","Smoking status, %","","","","1.259"
"E3","   Never","57.1","67.0","21.0",""
"E3","   Former","25.0","24.7","26.0",""
"E3","   Current","17.9","8.3","53.0",""
"E3","Cigarettes per day, mean (SD)","2.10 (5.78)","0.91 (3.92)","6.40 (8.67)","0.815"
"E3","Body-mass index (kg/m2), mean (SD)","29.61 (7.14)","29.58 (7.00)","29.72 (7.63)","0.019"
"E3","Physically active, %","54.5","54.7","53.7","0.021"
"E3","Diabetes, %","11.3","12.3","7.7","0.153"
"E3","Hypertension, %","49.9","51.8","43.0","0.177"
"E4","Age (years), mean (SD)","50.16 (16.17)","50.62 (16.34)","43.65 (11.70)","0.490"
"E4","Race/ethnicity, %","","","","0.226"
"E4","   Non-Hispanic White","67.5","67.8","62.8",""
"E4","   Non-Hispanic Black","11.8","11.9","9.6",""
"E4","   Mexican American","8.0","7.7","12.2",""
"E4","   Other Hispanic","5.9","6.0","4.9",""
"E4","   Other","6.8","6.6","10.5",""
"E4","Education, %","","","","0.100"
"E4","   < High school","15.6","15.6","14.6",""
"E4","   High school","23.2","23.4","19.9",""
"E4","   Some college or more","61.3","61.0","65.6",""
"E4","Poverty-income ratio, mean (SD)","2.89 (1.66)","2.89 (1.66)","2.87 (1.65)","0.012"
"E4","NHANES cycle, %","","","","0.150"
"E4","   2007-2008","16.3","16.4","15.2",""
"E4","   2009-2010","15.4","15.6","12.1",""
"E4","   2011-2012","15.9","16.0","14.1",""
"E4","   2013-2014","17.0","16.9","17.9",""
"E4","   2015-2016","17.3","17.2","18.5",""
"E4","   2017-2018","18.2","17.9","22.2",""
"E4","No. of pregnancies, mean (SD)","3.08 (1.81)","3.05 (1.76)","3.44 (2.37)","0.185"
"E4","Parity, mean (SD)","2.38 (1.31)","2.37 (1.31)","2.46 (1.28)","0.065"
"E4","Age at first birth (years), mean (SD)","23.30 (5.10)","23.21 (5.06)","24.47 (5.54)","0.238"
"E4","Premenopausal, %","46.0","44.8","64.4","0.403"
"E4","Family history of diabetes, %","39.7","38.4","58.9","0.420"
"E4","Smoking status, %","","","","0.042"
"E4","   Never","60.2","60.1","61.8",""
"E4","   Former","21.1","21.2","19.6",""
"E4","   Current","18.7","18.7","18.6",""
"E4","Body-mass index (kg/m2), mean (SD)","29.11 (7.22)","28.99 (7.19)","30.75 (7.43)","0.240"
"E4","Hypertension, %","47.6","48.1","40.4","0.156"
